,Methods,SOD,SDD,Rotating Angles,Entropy,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Nelder-Mead,124.0,9.871178747529918,"[-3.15590213e+01 -1.29028480e+02 -1.80676429e-01  2.39381802e+01
 -2.63268775e+01  5.50257506e+00 -2.24863622e-01  5.85031796e-03
  3.17118362e+01  7.75928409e+00 -1.95921398e-01  9.18767932e+01
 -2.32893493e+01 -6.11495584e+00  9.47129171e+00 -4.50008238e+00
 -6.09834667e+01  5.63939715e+00 -3.31496129e+00  1.19236231e+01
 -1.38121738e+01 -1.41156839e+02]",0.023688377704286185,0.32906791324444545,144.59206757464563,151.98081411302033,0.6206408101170741,0.00902979235620355,34.54903817176819
1,Nelder-Mead,262746.0,4333.939371019398,"[-3.08451168e+02 -2.07427455e-01 -2.98140577e+01  6.02219733e+01
 -2.86251915e+01 -1.51183305e+01 -5.41972340e-01  9.57892568e+01
  2.18568195e+02  2.72175223e+02 -6.85821751e+01  1.14494735e+01
 -1.31597551e+02 -9.69007507e+02 -7.77065973e+01  2.62937632e+02
  1.00036313e+01  9.54156046e+01 -1.48182818e+01 -5.85053430e+00
  1.48714347e+02 -2.73840453e+01]",0.0007754024471253113,0.3290680405371325,144.59206153386427,151.9808089674688,0.6206407812134204,0.0008325710843913662,28.99241828918457
2,Nelder-Mead,190271.0,2971.7451677949866,"[ 6.61516395e+01  2.11256901e+01 -7.46172289e+01  3.89899182e+01
 -7.10068901e+02  9.30244159e+00 -8.90870817e+00  4.74488206e+00
  1.72159844e+02 -5.57872779e+01 -1.07382157e+02  4.99400927e+02
  1.15076456e+02  2.13108549e+02  6.49370089e+00  1.07653317e+02
  2.15565787e+02 -3.90639587e+02  1.89695245e+01 -4.92606195e-01
 -1.16644376e+02 -4.34969321e-01]",0.0003475944430369356,0.3290680927780046,144.59206154656326,151.98080897670116,0.6206407812791753,0.0006770020777956109,28.984843492507935
3,Nelder-Mead,-222222.0,-3853.043673745602,"[   4.07187879  -87.02700318  259.18355037   29.09734516  175.65121318
    3.46535923  -19.68864641 -185.22537836   11.54513612   50.28994651
  -14.81160794   50.14710126    1.40653949 -876.72586036  -27.14906306
  818.88954167   52.71381851  -56.23890898   49.16180342 -108.9135752
  271.4845845   272.11568389]",0.0008721818287962925,0.3290679848241989,144.5920616076328,151.980809037796,0.6206407815412476,0.0005810913432834827,28.984165906906128
4,Nelder-Mead,35.0,3.546300399609775,"[ 4.27881906e+01  4.35016647e+00  1.50462402e+01 -9.32717326e+00
 -2.59613893e+00  3.03855688e-03 -3.03168164e-01 -7.51242268e+00
 -9.91275637e+00 -5.15707475e+01  5.79770365e+00  2.20755840e+01
 -2.31316917e+01  2.64646620e+01 -1.20395673e+00  3.96743817e+01
 -2.32221712e+00 -7.30851027e+00 -7.50199176e-01 -3.37101536e+01
 -1.25528461e+00  6.86637963e-01]",0.03798954426014715,0.3290679010699852,144.59206871547698,151.98081454601402,0.6206408181176987,0.020815079567462508,30.48020911216736
5,Nelder-Mead,76591.0,1155.2776309157498,"[ -83.37322644 -155.73264338 -314.61111326   49.25439003  204.84534862
  -15.32822954  -19.94641322  -18.56872616  -97.07923237   60.2714579
 -259.7082191   238.76259115  -31.92906515  231.7229766    88.93071284
 -378.28844065   48.23589608   62.25194826    4.71760538  -96.55649158
  -27.51049949   71.79891925]",0.0006149745155739782,0.32906797619655903,144.59206153449486,151.980808971864,0.6206407812041214,0.0004181950089942986,30.05478310585022
6,Nelder-Mead,1478146.0,21595.842518817226,"[ 4.19821366e+00 -1.54045402e+02 -1.08712639e+02 -2.20433534e+00
  1.64642494e+02 -6.44237264e+00 -8.60469638e+00  3.88052204e+02
  3.20693241e+02 -2.60846990e+02 -1.11708109e+01  6.82642664e+01
  8.99059997e+01  2.74881796e+01  2.96693031e+01  6.70218203e+00
  9.51530613e-02  3.83979463e+02  1.04047409e+00 -8.62659605e+00
 -2.75964318e+01  3.94931283e+02]",0.0004736551139331742,0.3290679688917284,144.59206153845298,151.98080897525406,0.6206407812230147,0.00038480644597429137,29.386248350143433
7,Nelder-Mead,845708.0,13532.114964726308,"[ -69.75609452 -114.97045753  -23.69131621   20.35561282   24.78337256
   18.58431199   -5.87298061   44.03040692 -403.32930962   58.33807171
   93.94133389  793.29678001   18.44740262  -97.26088618  -41.44350311
  107.77169715  233.19559535    1.81783976  -69.31591602    1.99523264
  114.9920454   516.19969246]",0.0008938335368717641,0.3290679897387618,144.59206157293133,151.98080900254254,0.6206407813943039,0.0009035671808431156,29.257750272750854
8,Nelder-Mead,-447584.0,-8432.903003406025,"[ 4.29646247e+01 -1.90183367e+02  1.56115264e+02  6.92492393e+01
 -2.90307768e+01 -8.96625224e+00  9.25976474e+00  2.68466839e+01
  6.58619767e+00 -1.03987495e+02  1.89095640e+01  2.46581317e+01
 -1.00157369e+01 -1.00087999e+03 -1.50658925e+01  7.92414356e-01
  1.56030241e+01  2.13971711e+02 -1.93013270e+01  3.89233563e+02
  1.35882821e+02  2.51138498e+01]",0.001401854544471731,0.32906797380268293,144.59206168939514,151.9808091121191,0.620640781916158,0.0007871154258716427,29.314903736114502
9,Nelder-Mead,358302.0,5264.056346713125,"[-3.54630538e+01 -1.31667479e+02  3.38275015e+01  3.05025908e+02
 -9.04089819e+01  2.76270253e+00 -1.95065422e+02  2.37049452e-02
 -1.01575008e+01  7.95700803e+01  5.12768501e+00 -4.30878282e+02
 -8.26303209e+01  6.73742572e+00  2.37364040e+01  5.53858120e+02
  2.63019686e+00  1.85682191e+01 -8.43002523e+01  3.16031191e+02
  1.51079718e+02  3.12708108e+02]",0.0006315399839561015,0.3290680158401786,144.59206157224253,151.98080900394902,0.6206407813843194,0.0006089506170019033,29.383293390274048
10,Nelder-Mead,155499.0,2257.9263634212193,"[-268.7943896   161.74117422   -7.42295852    8.68280521  -76.60831514
   56.61303789  -18.36363623  231.59974416  -57.04369389   -6.12078486
  -14.75621201   23.11373874 -194.7674099   -86.19473072  -23.93234372
   54.43882634  545.46212007 -220.4611116     6.33685877  -32.78899897
  286.07034271 -245.44971681]",0.0007117539532308886,0.3290680022520134,144.59206152994497,151.9808089666006,0.6206407811868838,0.0005325493295962171,29.595818758010864
11,Nelder-Mead,23985.0,332.30766057473545,"[ 130.67608729 -627.59426238  792.3022085    33.27723935  -26.92332366
  -38.6606787    -2.60065197   54.18251813   -0.96768438   67.60073714
    7.80490252  -82.72136265   29.14670558  119.93209702    9.9996916
  202.1994795  -114.02529596  324.80759859   13.75610069   14.80962262
  -26.73149004  211.94110667]",0.0005347605183063866,0.32906806253779863,144.59206152852857,151.98080896229067,0.6206407811900322,0.0007067706177856974,30.399214506149292
12,Nelder-Mead,455399.0,8343.232011138063,"[ 333.47572046   83.81932291   87.40990253  -91.16459561  -17.45403474
   16.26986731  -41.77929987 -468.01561504    4.53861097 -133.37489218
    5.00917017  -77.99623613 -123.62147281   53.63056861   20.07314572
  132.51041858  743.07894767  139.0985432    93.64569989  105.45716211
   13.47489558 -192.97425836]",0.0008505301183880594,0.3290679968916503,144.5920616638614,151.98080907831758,0.62064078183425,0.0011285449965414268,33.27701497077942
13,Nelder-Mead,-72.0,-9.683015727458603,"[-10.74627888 -94.49874549   4.91313957 -13.79583608 -17.31988354
   1.67575169  -0.71234773  48.53540099 -24.3682297   -8.04830304
   2.87911068   1.73000801  -5.88741062 -31.66621018  -6.64703531
 -19.9328431   -3.0464969   11.35336537  -3.6373242   -9.61551428
   4.74399779  27.67953954]",0.028028963120854906,0.3290678207530298,144.59207513950727,151.9808199283222,0.6206408495194362,0.013004295396214506,37.87099504470825
14,Nelder-Mead,-799893.0,-12835.808685398997,"[ 158.60439767 -600.46177598  429.2870151   226.07038398 -354.34317962
   72.54245925  303.25495308  -29.14522268  -39.38052901   11.09717887
  -48.36295133  138.408808    129.5821921    82.78867069   -7.46220113
 -114.31066552  -55.15170242   32.19885005   12.93671308   45.74314467
 -370.29968786 -211.43943458]",0.0007642700319868587,0.32906798568381646,144.5920615863482,151.98080901292977,0.6206407814618325,0.0009366217119639288,30.849974155426025
15,CG,54.0,67.63650373796864,"[ 18.00093891  17.45420309  -0.44654512 -18.51007585  14.15920949
   2.5772582    3.9412631   -7.91667301  -4.36248292  -5.24041102
  -0.67663637 -14.97278887  -8.32651296  -3.90071613   2.44126104
  -5.84336087 -17.91506647  -3.40742907  -0.7431372  -18.44303014
 -13.21648826  -7.32695152]",3.8704514150062868,0.32905918467356504,144.59323650747925,151.98185309618287,0.6206465112867632,0.13617765373438218,22.038426399230957
16,CG,1545.0,951.3717895045882,"[-12.42351956  -8.25594372   3.39820132 -12.14499901  -8.00085986
  -1.23740424   1.52057491  -6.74310291 -18.49400874 -17.24674894
   4.91870946  -4.60569245  -6.89407926 -12.36292069   2.08874106
 -16.64857398  -1.73790693  -7.31745055   1.30530699  -3.63384102
 -18.74642889  -2.41852179]",1.2535060635324775,0.3290655517322146,144.59235666246,151.98100514416177,0.6206424200132757,0.289781052565857,18.4725923538208
17,CG,626.0,663.8129209851334,"[-15.92688527   1.4324111   13.69463195 -11.02089925 -18.14425021
  -3.19865021   1.53719564  -4.44213114 -12.40660688  -9.11882915
  -2.7858857  -10.82364783  -2.71398294 -11.43127017  -2.57225561
 -19.16612939 -17.44753771 -19.56047819   4.42276669 -12.5799739
 -18.1333674   -2.96204963]",3.2857340182001775,0.3290649043705996,144.5929852919265,151.98139682332166,0.6206463959500587,0.5325526990949719,117.69999933242798
18,CG,492.0,624.7301977663361,"[ -5.65848412 -13.35302216   6.1823317   -5.60331619 -10.23734938
   1.17343111  -1.06984698 -10.04647694  -4.88799897  -5.55057593
  -4.40357017  -8.57952957  -8.23911665 -15.62085822   3.3859713
 -16.55420094  -7.68535744 -19.57477664  -2.50423352 -17.37775226
 -17.27791831 -18.66964801]",4.279232732838005,0.32905897109043925,144.5933131852556,151.98180227704682,0.6206474914250132,0.3426359698129703,9.55534029006958
19,CG,66.0,36.57535804790452,"[ -9.16158048   9.68089934 -16.74377988  -3.85765794  -3.77437266
   3.47700504  -1.07703118  -1.93338527 -14.73245676 -13.32394762
   3.86895158 -17.99240974  -9.80639199  -7.34854619   3.5113759
 -11.44408389  -3.70186892 -12.52557807   2.8320858  -10.91142716
  -1.23198842  -5.86322855]",0.912239756379706,0.32906648602428823,144.5922821451289,151.98096093908498,0.6206419695132321,0.22685902689247994,16.553842544555664
20,CG,314.0,213.29529760350337,"[ 15.2857368   18.82010124  19.37108508  -1.97167619 -11.77902658
   1.44733602  -1.40375279 -11.19847624  -5.14487323 -12.99142112
  -2.35845388  -4.43136969 -16.00770634 -13.867997    -4.43933663
 -17.23690606  -4.52232977  -1.82240675  -3.46510245  -7.30198632
  -7.2974678  -11.00829124]",1.3418785033131382,0.3290662037566349,144.59241914262142,151.98107575383145,0.6206426465761431,0.2322131449102999,6.725364685058594
