,Methods,SOD,SDD,Rotating Angles,Entropy,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Nelder-Mead,-360896.0,-5573.8410284883075,"[-142.05781792 -363.15003833  -11.9756227    -9.40457868  283.30963619
 -101.64455342   37.72222633   90.61509322  -27.90860725  261.86066944
 -188.67904385 -409.72066618   67.08130541   32.41613639   -6.70355903
  145.18408766 1037.75025166 -133.46179017    1.30050216   72.71941422
  -20.28720811   98.25251277]",0.000845443855367226,0.329068001642589,144.59206159116002,151.9808090219804,0.6206407814683387,0.0006756106112427594,28.645870685577393
1,Nelder-Mead,-339486.0,-6324.43888019975,"[ 138.96301251   63.76097758   29.78922092  178.97969425  -51.74210593
   71.54345915  -31.29950527   58.1740648  -324.54883121  381.21932763
  -17.09942695  167.80796645   -1.361565    122.08745826   98.68416461
    7.42916038   -7.00896552 -196.80255218  -59.6592227   117.31044184
 -376.75056344 -245.31570222]",0.0007158803271549361,0.3290679921941067,144.59206161110583,151.98080903529913,0.6206407815757243,0.0008804668617721858,30.54715347290039
2,Nelder-Mead,106.0,11.330981747913512,"[ 14.81895624  -5.59983024 -47.82848522 -56.86423373   4.49207797
   0.88555812 -11.97657381  -6.70046665 -26.1402192    1.3615338
   6.89939732 -13.97766781  -6.58155045  10.4477004    3.46481811
  -6.81012819 -39.60082324  -7.39693623  -0.42862294  77.60013837
  -7.05986575  16.34684834]",0.03607830098139358,0.3290677965961954,144.59207150394408,151.9808164779542,0.6206408338194841,0.0218810274250478,29.284809827804565
3,Nelder-Mead,-310520.0,-5239.573929327733,"[-449.0482428    39.56408468   39.67171743 -411.78541883  -65.38159058
   79.96389899 -109.06124186 -109.57918523   81.82583697  -39.58977841
   92.97424719  525.58613411   25.30946607  -29.71758831   34.73366511
  -13.18081804 -213.48328461  -62.61224478   10.20112393  -25.13051927
   14.05790186   27.03807899]",0.00105934757748194,0.32906804859533867,144.59206161568486,151.98080904242562,0.6206407815867306,0.0008626534768036652,30.87885093688965
4,Nelder-Mead,141624.0,2019.9538521501054,"[ 196.96951979   10.97561449   40.90844127   58.56588493 -217.58366809
  -35.89147042   46.31774069 -113.49721657 -390.97079707 -934.40098808
   44.0974846   128.57144535  -86.27703935   71.88639697  -23.36880527
 -251.23506863  273.44814375  117.89413354   55.45703249  134.05873917
 -132.30063542   -3.34354829]",0.0005589553882179479,0.32906801345317743,144.59206151704225,151.98080895339461,0.6206407811324818,0.000586255055649017,30.652735233306885
5,Nelder-Mead,-617358.0,-11974.27025226142,"[-2.19386693e+01 -1.10495545e+01 -1.95587864e+02 -1.37369521e+02
 -2.79212510e+00  1.99613886e+02 -6.38355424e+01  1.08669628e+02
 -2.70509720e+02  3.36601945e+01 -6.78429745e+01  1.05318678e+03
 -3.69217626e+02  8.07859943e+01  1.55617270e+01  1.54647103e-01
 -9.67651790e+00 -5.37503591e+01  1.07635316e+01 -2.22714475e+02
 -3.98696993e+02 -4.73089646e+01]",0.0012700948615947704,0.3290679931006239,144.59206162805398,151.9808090564125,0.6206407816347221,0.000738876658343576,24.772770643234253
6,Nelder-Mead,232855.0,3078.5426630506963,"[ 221.28311733   22.84298598  -85.96913672   57.11248645  487.40054387
   34.90964216  -18.58095818    1.86628562  785.90685842   39.9755879
  -42.97300701  110.57314018   10.10313893 -107.07593258  -83.97263457
   29.61860604  -39.48556896 -334.50649871    9.79410307   -8.1150297
  -94.13574426 -513.99968632]",0.00040107047620602747,0.32906804123334826,144.59206146775009,151.98080890765402,0.6206407809093996,0.0006353377149780706,30.739410161972046
7,Nelder-Mead,-266.0,-52.83028475362823,"[ -1.80313946 -27.78644128 -11.31014019 -50.09915794  -5.01411021
   1.81132984  -9.31505925 -30.77144686   4.17883463  -3.51506398
  -5.70968135 -22.83227969 -14.16839073   0.63473612  11.28493568
  -0.63473902  -1.10342725  -2.51239077   0.96415189  39.85475318
 -30.99664335 -46.90509295]",0.14075114795984997,0.3290679788731629,144.5920943072124,151.9808320178015,0.6206409633762696,0.06124480864971236,28.994024991989136
8,Nelder-Mead,332618.0,4750.448174572173,"[ -67.29636143 -374.79729606  -28.7292701  -312.50170259 -109.19292207
  -25.27073686    9.67583366  -51.04184762  -56.75782335  710.82765093
  -46.42013079  810.50425324  -40.96113678   87.29969286   19.18540659
    1.77227209  -94.17986903  281.50673265   10.1051294  -186.23869842
  116.9625854    63.58099869]",0.0006901022288261463,0.32906800397158953,144.59206154442896,151.98080897865114,0.6206407812569202,0.0006564862849320434,30.616491079330444
9,Nelder-Mead,163336.0,2639.4989717252347,"[-204.26006871   34.06249924   23.72505955   29.50044212   55.5018393
   20.43868675   -8.03926433   60.91675196    0.26230343  -98.85289234
   40.67566521  224.71846409   50.79369119  180.02787108   -9.53135082
  -17.19675195   19.74919292  108.63081361   15.7391319    -8.84756015
 -218.06509211  101.13538353]",0.0007486644643653868,0.3290680235851049,144.5920615431969,151.98080897739626,0.6206407812516345,0.0006755806035527446,30.66343665122986
10,Nelder-Mead,-859391.0,-13508.515714074136,"[ 6.17891802e-01 -7.61879683e+02  8.92631405e+00  1.54406113e+01
  1.20606279e+02 -1.00640700e+01  2.51729473e+02 -3.23894201e+02
  1.10782350e+02 -4.27590003e+02  4.35485822e+01 -4.84984751e+01
  2.35636500e+02  1.98432099e+01 -3.43923146e+01  6.93260434e+02
 -1.86730593e+01  4.23974770e+02 -1.00562658e+00 -2.03203110e+01
 -3.00494734e+02  1.70003925e+02]",0.0008368545717391901,0.329067984373688,144.5920615598346,151.98080899469946,0.6206407813209809,0.0005290795038639432,29.083996772766113
11,Nelder-Mead,520858.0,9050.32826934445,"[-812.62432486   27.31514855   -9.8514621    66.04677706   -8.1559038
   16.91448223   55.39298124   12.54747244  346.27424307  -52.20359989
    4.42226335   24.01615678  925.83012468   71.65563305  -22.85370496
   74.75062624 -133.78540413 -123.22848112   28.64833723 -854.09005313
   96.31338234   32.48524475]",0.0010809992692278351,0.32906801377839046,144.5920616274137,151.9808090492717,0.6206407816532348,0.0011537897491351672,29.15259599685669
12,Nelder-Mead,164285.0,2501.0756792927605,"[  60.99282152  152.78351717 -130.71550283   61.31040345   33.9703826
   -7.82954237   -9.07337314   -2.33070707 -142.22191658   64.30652744
   -8.6393255  -642.70511612   63.1626474     4.60345106   29.7656181
   30.88657959  -39.27963985  100.64870883   15.53713908   78.48332931
 -217.04264386    5.15582463]",0.0005614985197283644,0.32906796304738894,144.59206155633242,151.98080899225567,0.6206407813025279,0.000382790201953397,26.16137933731079
13,Nelder-Mead,944043.0,12637.375995854562,"[ -33.22294881 -120.1982705    -6.61496962  117.45908134 -173.65444133
   -1.97598936  -38.74509637   99.23066503 -335.77369331  342.0181134
   -6.76900918  238.96529406   67.82281149  324.16705566 -136.3036763
  252.81480678 -122.01578024 -299.5395413   -18.53745819  513.79052486
 -171.31659275   -3.07365338]",0.0005296742552855534,0.32906798749061944,144.5920615087865,151.98080894791687,0.6206407810880994,0.00039974578900786584,28.020211458206177
14,Nelder-Mead,-4153.0,-63.49177680112814,"[ -52.46319405  -18.60012366   -8.96838976  877.1959301    27.20611418
  -67.62095829   31.66545535  224.63567718   36.73028617 -164.13570165
  -36.76789271    3.02526167   -3.46851863  -35.25625677  -13.2942977
   -8.85838287 -112.60152524   59.44764502  -58.58295171  665.47353463
  -28.3119052   716.02807277]",0.0007728593156148946,0.32906802996585754,144.59206154744606,151.98080898049415,0.6206407812735831,0.0007292137980503467,28.60908818244934
15,CG,767.0,923.1928495889347,"[ 14.67351655  17.09999104  17.20681124 -12.33909177  19.13910361
   3.2241372   -1.18901017  -5.43359579 -18.46088758 -17.88741793
  -3.80565212  -6.60400158 -11.508754   -13.66435658  -2.5892883
 -11.93133318 -15.77218646 -11.94224662   0.09850227  -4.91058045
  -2.17478304  -9.98827425]",3.776589209551889,0.3290626386023813,144.5932497676889,151.9817023949537,0.6206472602131314,0.3900252316851162,13.918097257614136
16,CG,460.0,607.6133380740132,"[-19.87808542  -5.15972018  -6.7061562  -14.56988138   4.10627879
   3.30721186   4.70957573  -8.56438141 -19.87248779 -12.07772268
  -0.69985483 -12.45220008 -11.8460936  -12.5376905   -1.85234404
  -1.01953115  -5.51313032 -13.80920044   4.28904919 -15.61316837
 -13.46577158  -5.11528109]",4.38415814322172,0.32906067853016063,144.59341228577736,151.98183474558343,0.620648224187366,0.4037402844153465,21.723337411880493
17,CG,42.0,49.30775018159531,"[-10.54979485  -9.93775675  16.92990259 -13.61517918   8.54438597
   0.106384     2.00175802  -8.88659936  -5.09350025  -2.05073857
   4.59109503  -4.72943774 -12.38155807 -14.61542425  -3.99246449
 -14.14056237 -12.87359939 -14.42009353  -1.50547893 -17.55756743
  -5.85223928 -17.35441016]",3.8421521254976536,0.3290617629138847,144.5931509345246,151.9816051890791,0.6206469248477644,0.4204093631364864,19.753732919692993
18,CG,345.0,454.90475372521513,"[ 19.4564649   -1.01157639  13.62479776 -16.51048273  14.19877357
   3.11410686  -2.19884179 -12.96821829 -11.61048436  -3.97419915
  -1.98538421 -15.04242798  -1.43541249 -12.11529042  -3.30855712
  -9.59298376 -10.23778336  -5.33155855   2.88187197  -3.03807939
  -4.86075211  -3.35077664]",4.554905618120075,0.32905597249222757,144.59342664720802,151.9820636292848,0.6206473035518084,0.09427472077359962,1.5710813999176025
19,CG,206.0,224.4546507490164,"[-15.40111939   8.144003    -3.49843609  -5.96188528  19.41422785
   3.82465695   4.42883376 -17.88733891 -17.91376609 -19.84186717
   1.645655    -2.93471459 -12.3320653   -4.70919543   3.68041049
  -8.52486233 -16.3486333  -11.47599762  -3.86636781  -7.42892149
 -16.4249412   -7.34825635]",3.2144535032200032,0.3290672360057215,144.59301024475522,151.98142873158238,0.6206464711475725,0.49127506844174884,11.326810359954834
20,CG,481.0,602.3362019491622,"[ 5.92617580e+00 -1.65931499e+01  1.30467278e+01 -1.68539109e+01
 -2.28478800e-01 -3.99430089e+00 -1.46390584e+00 -1.87416810e+01
 -1.61393021e+01 -8.51106957e+00 -4.47612922e+00 -1.27549923e+01
 -1.60401447e+01 -2.36208847e+00 -1.95865612e+00 -1.43266301e-02
 -1.17355999e+00 -5.35116334e+00 -1.40375721e+00 -1.00091410e+01
 -1.44173973e+01 -2.04312037e+00]",4.137014466233746,0.32906050556306354,144.59326304051015,151.98177882889502,0.6206470842689208,0.30981567051066916,3.834486722946167
21,CG,402.0,424.1793275969843,"[  4.96917979  -5.22356465   9.9155065   -8.74353715  -8.97372967
   1.68395782   4.73755863  -2.29700805 -15.59198602 -13.19617051
   2.00007174  -7.40864535  -1.76353677 -18.88219217   4.55871926
 -11.25258673  -6.88160261 -15.18877211  -2.72483026 -12.09622284
  -9.84835478 -11.90825858]",3.238708393693342,0.3290649736911981,144.59297109174076,151.98146025738467,0.6206458735978094,0.3996132015783077,117.09939670562744
22,CG,184.0,260.4153718370251,"[ 19.29229507 -19.16975023 -12.68013385 -16.69058579  -4.66014495
  -2.58460655  -3.96696809 -15.8748489   -8.75350157  -4.10563638
   2.24247707 -19.00605548 -18.71126736  -8.65855997  -4.26624304
  -0.68558121  -0.23334241 -12.20395118   2.78855069 -17.75575097
 -13.3991821  -16.4025642 ]",4.709276465597872,0.32905453754660174,144.59354185778648,151.9822215734486,0.6206476400596014,0.022816498906347658,1.1335837841033936
23,CG,940.0,966.22255635118,"[  7.6226288  -12.20749163   2.43322007 -17.81532347  18.92017448
   3.1048373    0.16521175  -4.21631241 -15.11711438 -12.56882874
   2.57183334 -16.19396769 -13.19842367  -4.44223863  -4.26773187
  -2.88451081  -4.40937958 -12.42425941   1.41815439 -17.49161167
 -17.10259967  -6.99708034]",3.060411839258229,0.32906235618819696,144.59293273399817,151.9814619902483,0.6206455504363998,0.32938448750286725,5.985051155090332
24,CG,409.0,468.8906075669598,"[ -5.36550202  -5.51949134  -3.3610249  -12.99914707  -8.5533169
   4.24010266  -1.85312941  -4.50059632  -9.33771078  -2.34253216
  -2.2246671   -4.7346395  -15.76065103  -4.15080723  -0.50996511
  -1.87132875  -7.28232584  -7.52249503  -4.87137771 -12.25892052
 -11.32839561 -15.17959371]",3.63239173618007,0.3290606152703993,144.59311945239702,151.98160915175234,0.6206466460002765,0.37542724576593595,114.95595526695251
25,CG,892.0,989.887396705437,"[-17.91235442  19.42862219   4.285111    -6.39724903 -16.47687174
   1.55400645   4.38848229 -19.36208986 -18.06894153 -14.62251108
   3.25973973 -17.42826132 -18.59348816  -4.95912256  -4.73265169
 -15.77704156  -1.42215084  -6.85138545  -0.18275865  -1.39186564
 -16.22862566 -15.97926183]",3.221890751353548,0.32906418590245173,144.59305635324563,151.98147302752136,0.6206466301540713,0.49575550897739157,113.84324312210083
26,CG,690.0,561.0776692919032,"[ 14.6188596   -1.39324908  -0.93728349  -3.47915531 -12.45622219
   2.81697672   2.79424109  -6.51585547 -17.47504167  -1.3364658
   3.03486224 -15.55643111 -17.83128593  -8.13818447   0.9876089
 -10.86958105 -13.01455391  -6.06129223  -3.44477235 -16.00850014
  -7.18167838  -8.14001571]",1.982430962246012,0.3290667677553541,144.59260250858884,151.9811826210073,0.6206437956228624,0.3176061120105701,5.148201942443848
27,CG,398.0,432.0545866168457,"[-10.21476407   7.63069521  18.31528567  -1.26483751   7.10712465
   2.94977044   3.64373857 -17.16573945  -8.74134876  -4.68595769
  -0.93078247 -15.97432976 -17.64693934  -2.15005528  -1.96054042
  -2.113444    -6.84719942  -2.28250101  -2.63946022 -16.44023525
  -5.250238   -18.66864027]",3.352214968843599,0.32906341221019564,144.59301010430985,151.98142221777155,0.620646487596186,0.5326353107531482,10.410223007202148
28,CG,387.0,417.80989294201555,"[-16.07219566  10.39104293  -1.15471793  -8.56517308  13.98116654
   0.17827011  -4.77485117  -7.06085647 -14.21253582  -8.60099172
   0.53521585 -12.69921869 -10.195121   -18.8668243   -4.90566825
 -13.89286548 -14.41855941  -5.98077838  -1.75354207 -11.30114127
 -19.85893124 -10.59074569]",3.1689169255816707,0.329067820773244,144.59300751886136,151.9814021131651,0.6206465508124316,0.5310147539963909,18.86817502975464
29,CG,359.0,423.25081315463774,"[ 14.08083204  18.37673484  18.01079398 -19.53757051   2.2810237
  -4.51876499   1.45092821 -14.0954092   -5.29892997  -3.48062818
   4.11833106  -4.72449619 -15.32631916 -17.6728765   -4.65045859
  -8.36776583  -7.72176929  -7.70739891  -4.71651643 -18.12713527
 -10.78697409 -16.67364599]",3.5183653035675038,0.3290636197996776,144.593174853042,151.98163073534386,0.6206469254641019,0.3957355099209817,104.93894672393799
30,PRS,35.0,37.0,"[ -6.  18. -10. -14.  10.   5.   2.  -7. -10.  -4.  -5. -17.   0.  -1.
   5. -13. -11. -17.   0. -15.  -6. -16.]",2.8479170848034436,0.32906501864776694,144.5928489965348,151.98138854240884,0.6206450572825848,0.34252690721289664,28.204323530197144
31,PRS,43.0,47.0,"[ -7.  19.  11. -19.  16.  -1.   2. -17.  -9. -10.   3.  -4. -12.  -2.
   5. -17.  -7. -10.  -5. -10.  -3.  -9.]",3.0825542470357528,0.3290636164125252,144.59289605658464,151.98143473491066,0.6206453426213688,0.34376230201002095,24.274035692214966
32,PRS,19.0,21.0,"[ -3.   6.   3.  -3.   2.   0.  -5. -11.  -8. -12.  -1.  -4. -11. -13.
   5.  -3. -10.  -7.   0.  -2.  -9.   0.]",3.1839827593442354,0.3290668535130857,144.59292110034343,151.98139801320818,0.6206457041383577,0.4332341908635903,25.250246047973633
33,PRS,27.0,29.0,"[ 19.  15.  -6. -12.   4.   4.   4. -11.  -3. -11.  -4.  -4.  -7. -12.
   1.  -7. -12. -20.  -5.  -7.  -7.  -3.]",3.002249495695195,0.32906250864295333,144.5929104271539,151.98154380139863,0.6206449567193955,0.1431469854964258,25.38202428817749
34,PRS,119.0,126.0,"[  8.  12.  11. -16.  -5.   5.   2. -19. -18. -18.  -2.  -2. -20. -11.
   3.  -8. -15. -18.  -3. -18. -15. -19.]",2.974025243879173,0.3290651060625375,144.5929349209861,151.98143367947236,0.6206456811892777,0.3849538289631694,22.076063632965088
35,PRS,12.0,13.0,"[ -2.  13. -10. -20.   1.   1.  -1. -10.  -4. -18.   1.  -9. -16.  -1.
   1. -20.  -6. -20.  -1.  -9.  -8.  -4.]",2.9872548157470216,0.3290641504198112,144.59287211822812,151.98149857425884,0.6206447620073233,0.19788743898422206,24.746153593063354
36,PRS,67.0,71.0,"[ 20.   9.   3. -16.  19.  -3.  -5.  -8. -15. -14.   3.  -6. -19.   0.
   1. -11.  -4. -10.  -1.   0. -12.  -6.]",3.0067714943505117,0.3290617448267438,144.59290872107763,151.98150828546036,0.6206450911349569,0.21281920975574414,25.861127614974976
37,PRS,16.0,17.0,"[ -7.  19. -13.  -8. -12.   2.   2.  -5.  -6.  -5.  -2. -17.  -7. -19.
   0. -20.  -7. -11.   0.  -5. -18. -17.]",2.941415445338101,0.32906384029513736,144.59284858003957,151.9815040060693,0.6206445133831698,0.16503676490723124,24.346297025680542
38,PRS,15.0,16.0,"[-10.  10.  19.  -7.  18.  -4.   5.  -1.  -6.  -3.   4.  -7. -19.  -5.
   1. -16.  -3. -11.  -4.  -5.  -2.  -7.]",2.907758203771062,0.3290632953338171,144.59280429359447,151.98137308656672,0.620644787810262,0.31775900376552485,21.776281118392944
39,PRS,27.0,30.0,"[ -9.  14.   8.  -4.  19.   4.   0. -14.  -1. -19.  -1.  -5.   0.  -9.
   2. -20.  -9. -17.  -4. -11. -14. -14.]",3.173058771895625,0.3290631638197715,144.59289615985472,151.98144795442988,0.6206453058226745,0.3195757777365906,21.949854373931885
40,PRS,17.0,18.0,"[-15.  16. -10.  -9.   1.  -3.   0.  -6. -10.  -6.   3. -18. -14. -18.
  -5.  -7. -19.  -2.  -3.  -6. -19.  -7.]",2.9716161559398278,0.32906548991327206,144.59282147035506,151.98143291057485,0.6206446049693349,0.24792379712649817,26.119229793548584
41,PRS,37.0,39.0,"[-19.   3. -11. -16.   6.  -3.   2.  -5. -17.  -7.   3. -16.  -1. -18.
  -5. -20.  -4.  -3.  -1.  -6. -10.  -3.]",2.9895527814840577,0.32906613022661163,144.59290080812448,151.98133590768597,0.620645907656806,0.4943949642596073,24.07329273223877
42,PRS,31.0,33.0,"[-20.  20.   0.  -4. -17.   5.  -5.  -8. -12.  -2.  -1.  -1. -15.  -4.
  -2. -12. -10. -14.   4.  -1.  -9. -10.]",2.9716528480339606,0.3290663217849696,144.59284696230316,151.981373685247,0.6206450850620907,0.38115372891507704,23.20218276977539
43,PRS,83.0,88.0,"[-18.  17. -13.  -5.  11.   4.   2.  -8.  -2. -13.  -4.  -9. -15.  -9.
  -2.  -3.  -6.  -6.  -4. -19. -10. -11.]",2.8040951012378446,0.32906711923323034,144.59289179750098,151.98134155867916,0.6206456822714339,0.4768631293453361,24.88429856300354
44,PRS,14.0,16.0,"[ 12.  17.   4. -19.   9.  -4.   3.  -2. -11.  -4.   0. -15.  -2. -14.
  -2.  -9.  -5.  -6.   2.  -1.  -5. -19.]",3.0480690422832013,0.3290652303309415,144.59285222754502,151.981450983201,0.6206448039341157,0.24265275261698166,24.552237272262573
45,SA,590.0,654.8463247570629,"[ -0.29356587  -0.56512479   3.36232001 -11.16646512   1.80971152
   0.69042116  -0.20838056 -12.87888948  -7.80809827 -10.87082667
  -1.59382472 -13.5461863  -13.46008192  -4.84451641  -0.66649647
  -9.34844947 -12.1563033   -9.86671847  -0.20224586 -11.1420969
  -8.71954884 -11.15593113]",3.4796134238580647,0.3290623783060458,144.59307130633775,151.98156763386825,0.6206463604567702,0.36422007125511,25.87869358062744
46,SA,475.0,515.8737855591004,"[  0.93143883  -1.34919806  -3.76811268 -10.13284773  -3.79458309
   1.25500686   0.09104468 -13.57857311  -9.72937169 -11.05032311
  -0.53523673 -11.75003722 -10.1478067   -7.96619237   0.14383767
 -11.8060476  -12.21481136 -10.08570173  -1.35872864 -11.60471939
 -11.00051532  -6.91915471]",3.2989230427824587,0.32906311063342997,144.59303228374725,151.98153134432306,0.6206461472341652,0.35489207942133666,23.48829936981201
47,SA,254.0,285.4933543033904,"[ -4.15526715   3.93306877   2.77013125 -10.15396368   0.7292987
  -0.75420469   0.44997164 -14.0761845   -8.6646208   -8.52220001
  -0.88663003 -10.30299623 -12.96511261 -11.73674046  -0.03657156
 -10.76114061 -12.54015084  -9.12127412  -1.66403651  -7.91827929
 -10.15933775  -9.72584512]",3.502163375578435,0.32906195804001137,144.59307954995893,151.98157274140317,0.620646450644415,0.3725395146702092,22.649275064468384
48,SA,320.0,355.0413447201419,"[ -1.41377203  -0.4366844   -1.04389464  -9.32519661  -4.84153364
  -0.29631133   0.22747771  -7.25391501  -9.93722141  -8.79415777
  -0.87443043 -11.52855919 -11.02865997 -10.11280171  -0.81462543
  -7.6667816  -12.69392624 -11.35174981   0.91226056  -9.30395264
 -11.21613186 -12.16180221]",3.43914506713745,0.3290624691622928,144.59306498706187,151.9815591640688,0.6206463478198244,0.36505265907498363,28.60029172897339
49,SA,206.0,224.4546507490164,"[-15.40111939   8.144003    -3.49843609  -5.96188528  19.41422785
   3.82465695   4.42883376 -17.88733891 -17.91376609 -19.84186717
   1.645655    -2.93471459 -12.3320653   -4.70919543   3.68041049
  -8.52486233 -16.3486333  -11.47599762  -3.86636781  -7.42892149
 -16.4249412   -7.34825635]",3.2144535032200032,0.3290672360057215,144.59301024475522,151.98142873158238,0.6206464711475725,0.49127506844174884,23.044453144073486
50,SA,386.0,435.70448473682666,"[ -3.87671052  -5.60485762   2.17188746 -14.56878374  -3.47267565
   0.28858132   0.48458357 -12.66438994  -8.6118661  -10.73175341
  -0.21770674  -9.96947396 -10.29296184  -7.06665383  -1.36565203
 -11.28700999  -5.11721031  -9.81343055   1.44444371  -9.88178777
  -9.88866517 -13.9501476 ]",3.594894889764983,0.32906036547831846,144.5930952846053,151.98159432481057,0.62064649328568,0.3639708676295774,30.59469699859619
51,SA,402.0,424.1793275969843,"[  4.96917979  -5.22356465   9.9155065   -8.74353715  -8.97372967
   1.68395782   4.73755863  -2.29700805 -15.59198602 -13.19617051
   2.00007174  -7.40864535  -1.76353677 -18.88219217   4.55871926
 -11.25258673  -6.88160261 -15.18877211  -2.72483026 -12.09622284
  -9.84835478 -11.90825858]",3.238708393693342,0.3290649736911981,144.59297109174076,151.98146025738467,0.6206458735978094,0.3996132015783077,22.58061909675598
52,SA,303.0,339.12159901249055,"[ -7.52002908   3.84163585  -5.10734765 -12.051061    -2.12241197
  -0.24895772   0.75151667  -9.43413893 -10.98991471 -14.31122615
   0.39004514 -11.92731082 -11.2074296  -10.55093543  -1.26777957
 -13.8438881   -8.61549853  -6.88636221   0.93724183  -9.0925199
  -7.12835533 -14.63793383]",3.4195834620736374,0.32906259060741505,144.5930717009178,151.98154220323042,0.6206465249193455,0.4070812686540712,22.506704568862915
